,Contract Name,Last Day Traded,Strike,Last Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Implied Volatility,Price of Underlying,Date,Maturity Date,Option Type
0,AAPL180427C00130000,2018-04-26 1:43PM EDT,130.00,34.15,0.00,0.00,0.00,-,3,15,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
1,AAPL180427C00135000,2018-04-26 12:13PM EDT,135.00,28.95,0.00,0.00,0.00,-,13,13,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
2,AAPL180427C00140000,2018-04-26 2:17PM EDT,140.00,23.50,0.00,0.00,0.00,-,3,12,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
3,AAPL180427C00144000,2018-04-20 11:49PM EDT,144.00,23.65,21.55,22.45,0.00,-,6,0,256.06%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
4,AAPL180427C00145000,2018-04-24 3:48PM EDT,145.00,17.75,0.00,0.00,0.00,-,2,12,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
5,AAPL180427C00146000,2018-04-24 10:29AM EDT,146.00,18.56,0.00,0.00,0.00,-,10,10,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
6,AAPL180427C00147000,2018-04-20 11:49PM EDT,147.00,19.25,18.80,19.50,0.00,-,8,0,235.64%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
7,AAPL180427C00148000,2018-04-24 2:01PM EDT,148.00,14.05,0.00,0.00,0.00,-,21,28,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
8,AAPL180427C00149000,2018-04-27 6:56AM EDT,149.00,13.90,0.00,0.00,0.00,-,52,32,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
9,AAPL180427C00150000,2018-04-26 3:48PM EDT,150.00,14.10,0.00,0.00,0.00,-,28,217,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
10,AAPL180427C00152500,2018-04-26 9:30AM EDT,152.50,11.65,0.00,0.00,0.00,-,1,74,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
11,AAPL180427C00155000,2018-04-26 3:49PM EDT,155.00,9.20,0.00,0.00,0.00,-,"1,430",995,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
12,AAPL180427C00157500,2018-04-26 3:59PM EDT,157.50,6.79,0.00,0.00,0.00,-,642,597,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
13,AAPL180427C00160000,2018-04-26 3:59PM EDT,160.00,4.34,0.00,0.00,0.00,-,"1,781","3,016",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
14,AAPL180427C00162500,2018-04-26 3:59PM EDT,162.50,2.15,0.00,0.00,0.00,-,"5,708","2,622",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
15,AAPL180427C00165000,2018-04-26 3:59PM EDT,165.00,0.68,0.00,0.00,0.00,-,"26,795","13,296",3.13%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
16,AAPL180427C00167500,2018-04-26 3:59PM EDT,167.50,0.12,0.00,0.00,0.00,-,"17,728","17,713",12.50%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
17,AAPL180427C00170000,2018-04-26 3:58PM EDT,170.00,0.03,0.00,0.00,0.00,-,"13,859","20,365",12.50%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
18,AAPL180427C00172500,2018-04-26 3:57PM EDT,172.50,0.02,0.00,0.00,0.00,-,"4,013","14,414",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
19,AAPL180427C00175000,2018-04-26 3:52PM EDT,175.00,0.01,0.00,0.00,0.00,-,"2,538","16,954",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
20,AAPL180427C00177500,2018-04-26 3:51PM EDT,177.50,0.01,0.00,0.00,0.00,-,488,"10,823",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
21,AAPL180427C00180000,2018-04-26 3:53PM EDT,180.00,0.01,0.00,0.00,0.00,-,109,"11,995",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
22,AAPL180427C00182500,2018-04-26 12:29PM EDT,182.50,0.01,0.00,0.00,0.00,-,21,"6,231",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
23,AAPL180427C00185000,2018-04-26 2:46PM EDT,185.00,0.01,0.00,0.00,0.00,-,8,"8,710",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
24,AAPL180427C00187500,2018-04-26 9:30AM EDT,187.50,0.20,0.00,0.00,0.00,-,10,"4,582",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
25,AAPL180427C00190000,2018-04-26 9:30AM EDT,190.00,0.16,0.00,0.00,0.00,-,10,"11,565",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
26,AAPL180427C00192500,2018-04-23 9:35AM EDT,192.50,0.01,0.00,0.00,0.00,-,15,235,50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
27,AAPL180427C00195000,2018-04-20 3:55PM EDT,195.00,0.01,0.00,0.01,-0.02,-66.67%,501,947,112.50%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
28,AAPL180427C00197500,2018-04-12 9:41AM EDT,197.50,0.01,0.00,0.04,0.00,-,5,25,135.94%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
29,AAPL180427C00200000,2018-04-19 3:53PM EDT,200.00,0.01,0.00,0.01,0.00,-,40,"1,726",125.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
30,AAPL180427C00202500,2018-04-16 9:30AM EDT,202.50,0.13,0.00,0.02,0.00,-,2,18,143.75%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
31,AAPL180427C00205000,2018-04-20 1:52PM EDT,205.00,0.01,0.00,0.04,-0.65,-98.48%,12,32,160.94%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
32,AAPL180427C00207500,2018-04-23 9:30AM EDT,207.50,0.07,0.00,0.00,0.00,-,1,2,50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
33,AAPL180427C00212500,2018-04-05 11:06AM EDT,212.50,0.02,0.00,0.03,0.00,-,1,1,178.13%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
34,AAPL180427C00215000,2018-04-20 11:49PM EDT,215.00,0.01,0.00,0.13,0.00,-,20,20,217.97%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
35,AAPL180427C00220000,2018-04-20 11:49PM EDT,220.00,0.01,0.00,0.13,0.00,-,1,1,233.59%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
36,AAPL180427C00225000,2018-04-20 11:49PM EDT,225.00,0.01,0.00,0.01,0.00,-,201,201,193.75%,164.22,"Apr 26, 2018","Apr 27, 2018",Call
37,AAPL180427P00130000,2018-04-23 9:30AM EDT,130.00,0.01,0.00,0.00,0.00,-,5,639,50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
38,AAPL180427P00135000,2018-04-24 1:28PM EDT,135.00,0.01,0.00,0.00,0.00,-,1,777,50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
39,AAPL180427P00140000,2018-04-26 3:49PM EDT,140.00,0.01,0.00,0.00,0.00,-,32,"2,278",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
40,AAPL180427P00143000,2018-04-24 2:03PM EDT,143.00,0.02,0.00,0.00,0.00,-,213,"1,133",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
41,AAPL180427P00144000,2018-04-24 2:06PM EDT,144.00,0.03,0.00,0.00,0.00,-,60,768,50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
42,AAPL180427P00145000,2018-04-26 9:46AM EDT,145.00,0.01,0.01,0.00,0.00,-,10,960,84.38%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
43,AAPL180427P00146000,2018-04-25 2:36PM EDT,146.00,0.02,0.00,0.00,0.00,-,5,"1,216",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
44,AAPL180427P00147000,2018-04-25 3:59PM EDT,147.00,0.02,0.01,0.00,0.00,-,32,"1,199",75.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
45,AAPL180427P00148000,2018-04-26 2:50PM EDT,148.00,0.03,0.02,0.00,0.00,-,262,"1,122",76.56%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
46,AAPL180427P00149000,2018-04-26 12:18PM EDT,149.00,0.01,0.00,0.00,0.00,-,"1,087","1,392",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
47,AAPL180427P00150000,2018-04-26 3:48PM EDT,150.00,0.03,0.00,0.00,0.00,-,153,"2,993",50.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
48,AAPL180427P00152500,2018-04-26 3:29PM EDT,152.50,0.02,0.00,0.00,0.00,-,"3,134","3,060",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
49,AAPL180427P00155000,2018-04-26 3:57PM EDT,155.00,0.03,0.00,0.00,0.00,-,"1,710","5,682",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
50,AAPL180427P00157500,2018-04-26 4:00PM EDT,157.50,0.06,0.00,0.00,0.00,-,"4,509","6,698",25.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
51,AAPL180427P00160000,2018-04-26 3:59PM EDT,160.00,0.14,0.00,0.00,0.00,-,"10,597","11,435",12.50%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
52,AAPL180427P00162500,2018-04-26 3:59PM EDT,162.50,0.46,0.00,0.00,0.00,-,"26,354","10,497",6.25%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
53,AAPL180427P00165000,2018-04-26 3:59PM EDT,165.00,1.44,0.00,0.00,0.00,-,"15,127","7,244",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
54,AAPL180427P00167500,2018-04-26 3:59PM EDT,167.50,3.30,0.00,0.00,0.00,-,"2,260","4,803",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
55,AAPL180427P00170000,2018-04-26 3:58PM EDT,170.00,5.85,0.00,0.00,0.00,-,"1,335","4,848",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
56,AAPL180427P00172500,2018-04-26 3:59PM EDT,172.50,8.29,0.00,0.00,0.00,-,868,"3,094",0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
57,AAPL180427P00175000,2018-04-26 3:57PM EDT,175.00,10.83,0.00,0.00,0.00,-,"1,322",642,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
58,AAPL180427P00177500,2018-04-26 3:57PM EDT,177.50,13.34,0.00,0.00,0.00,-,87,508,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
59,AAPL180427P00180000,2018-04-26 2:07PM EDT,180.00,16.15,0.00,0.00,0.00,-,79,645,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
60,AAPL180427P00182500,2018-04-24 11:01AM EDT,182.50,18.35,0.00,0.00,0.00,-,25,82,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
61,AAPL180427P00185000,2018-04-26 11:39AM EDT,185.00,19.81,0.00,0.00,0.00,-,1,11,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
62,AAPL180427P00187500,2018-04-23 1:05PM EDT,187.50,22.28,0.00,0.00,0.00,-,21,11,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
63,AAPL180427P00190000,2018-04-23 9:51AM EDT,190.00,24.50,0.00,0.00,0.00,-,1,22,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
64,AAPL180427P00192500,2018-03-21 11:49AM EDT,192.50,18.55,25.05,29.35,0.00,-,2,2,238.57%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
65,AAPL180427P00195000,2018-04-20 11:50PM EDT,195.00,19.50,28.65,29.90,0.00,-,10,8,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
66,AAPL180427P00197500,2018-04-16 3:25PM EDT,197.50,21.92,31.15,32.40,0.00,-,10,9,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
67,AAPL180427P00200000,2018-03-23 11:48PM EDT,200.00,33.81,34.20,35.80,0.00,-,2,0,145.31%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
68,AAPL180427P00202500,2018-04-20 11:50PM EDT,202.50,25.30,36.15,37.40,0.00,-,1,1,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
69,AAPL180427P00215000,2018-04-27 6:57AM EDT,215.00,52.30,0.00,0.00,0.00,-,2,0,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
70,AAPL180427P00225000,2018-04-27 6:57AM EDT,225.00,61.25,0.00,0.00,0.00,-,1,3,0.00%,164.22,"Apr 26, 2018","Apr 27, 2018",Put
71,AAPL180504C00130000,2018-04-24 10:37AM EDT,130.00,34.20,0.00,0.00,0.00,-,3,11,0.00%,164.22,"Apr 26, 2018","May 04, 2018",Call
72,AAPL180504C00135000,2018-04-26 9:32AM EDT,135.00,29.14,0.00,0.00,0.00,-,1,39,0.00%,164.22,"Apr 26, 2018","May 04, 2018",Call
